trial,value,num_leaves,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_samples,reg_lambda,reg_alpha
72,0.5658144179517407,108,4,0.011455793187096134,468,0.6353486003321116,0.49949366280656177,49,0.004718543459402501,1.4842093105335694
73,0.5625411895758522,122,3,0.011994574210583534,447,0.6310315388532549,0.5826834334172514,65,0.0014887245752127352,1.7942779382643124
74,0.5639076098376256,116,4,0.016955900069231283,485,0.6379187493145135,0.5598903040779661,74,0.0016314042676421699,3.197292427088485
75,0.564686423823266,115,5,0.011018720878325674,434,0.6081151646506111,0.5051995647669368,63,0.008778936436376908,2.931827164021129
76,0.5654107171300664,113,4,0.015372260631520997,398,0.6074171646321445,0.5074205463442545,59,0.0042822395404762655,4.901313303482824
77,0.5637216701727095,93,4,0.01890279328049029,458,0.6300849404149742,0.4921976360396376,60,0.0022152471474291384,3.101485632054957
78,0.5636719502851081,109,3,0.014416624687706058,394,0.6356814569842482,0.46896578442469256,61,0.002206727298489097,1.8048242305811575
79,0.5644607794593787,121,4,0.015197533738671666,386,0.6042853685233278,0.5133936277335143,78,0.0022498913899763498,3.8652300259529375
80,0.5628233057818749,123,3,0.012033625718371365,458,0.605733669247792,0.525279386867346,55,0.006166376105583038,4.272077057860119
81,0.5649652597525648,109,4,0.012139737317124928,376,0.6088569544569432,0.4800547710729338,60,0.004996022182298968,4.160434718025055
82,0.5641744466774802,111,4,0.010041768839328315,390,0.6517662356231084,0.5424930436137058,45,0.006187352252898159,3.858452857869023
83,0.5656947737521169,122,4,0.013367898547979132,487,0.6224704287888281,0.5250082673436153,63,0.005841431677445777,4.865003506992432
84,0.5641793261265784,115,5,0.013925026727075728,472,0.6449223003734902,0.5160761272428498,74,0.0014132488089304784,2.8578750758831313
85,0.5628439336277604,119,3,0.011272335355539558,469,0.6053281741365009,0.5244797135275747,60,0.0023165352330418994,3.0206301475163015
86,0.5654243239471815,112,4,0.013170163125678381,402,0.6160515984618152,0.5564459411139505,73,0.0011667615688724868,1.1801791146136262
87,0.5637733306220302,121,4,0.016481580662668572,502,0.6502117368780381,0.48151451740765766,64,0.0033951760083109394,2.7393144121069546
88,0.5648671353831177,103,4,0.013827454750452139,368,0.6344357608408522,0.5188473628360131,65,0.002585473776331977,1.3151430130147297
89,0.5643302152783265,114,4,0.010778215517179172,437,0.6136617483729295,0.4393994393686842,66,0.0023023285354832343,3.0735856074666916
90,0.564092966862777,116,5,0.012390633410618388,483,0.6329274790868227,0.5052136389381839,62,0.009662314388345977,1.651168673492512
91,0.5652623692856809,107,4,0.013326530693906283,420,0.6242246401813394,0.5072339291391296,69,0.0020417139863507404,3.5738415359039917
92,0.565739148681008,109,4,0.012973653556504032,391,0.6456204924194571,0.5770646010785927,69,0.002038547625447622,4.432843324750762
93,0.5657520027385415,129,4,0.012812943560289647,444,0.6161723122658042,0.5281499007314677,69,0.0037560980481923223,3.5102602844259434
94,0.562435452139937,113,3,0.011966029816980054,378,0.6294401998227129,0.5579397604566484,75,0.0018429434687358757,3.412531258932716
95,0.5622845107422064,114,3,0.014370612708970805,422,0.6014653101130747,0.5812724139607442,71,0.0015138506887741794,2.9905451015251603
96,0.5653373622357442,138,4,0.012854646840897935,492,0.6144501684819716,0.5253428048708977,75,0.0021253913652100028,2.674727785831691
97,0.5648377908944772,106,4,0.014998612061320492,438,0.647532038109001,0.6164699254714371,64,0.0016196056710892533,3.087568349221276
98,0.5645286737134393,113,4,0.014405753435668934,417,0.6118659574959003,0.5356655927983582,62,0.0037491290067826065,1.351715560148105
99,0.5652366691448529,128,4,0.013692383585645004,402,0.6246622670313025,0.5350636929572828,76,0.00171513655295473,3.7725231994635093
