trial,value,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,gamma
84,0.5659383644108781,5,0.010050118309149739,476,0.855314947719366,0.44123151964516083,2,0.18272047696909835,0.6944815684320359,1.0244297536249574
85,0.5651268356626806,5,0.013416718776317725,556,0.846130847244302,0.47063132297081006,3,0.3031199906174519,1.267306987865069,1.1531989718078262
86,0.5660663882681404,5,0.01169639654805759,570,0.8356983956175592,0.5227992896253596,2,0.23953763571454703,0.8960462467306903,0.5383746255623522
87,0.5668457031062402,5,0.010813522272002983,433,0.8457924499616802,0.4676784382561815,2,0.22281012093821695,0.5042194496293961,0.9232131202609706
88,0.5655043946825676,4,0.01330169444839916,485,0.8409927778677412,0.45840152747587387,3,0.22713781522361579,0.46888424255686373,1.288216063307753
89,0.5658151147725605,4,0.010825685852004838,512,0.8524050706659061,0.48845389243782555,1,0.35419767086811366,1.3663012794137146,1.1441076224058806
90,0.5643763141997061,5,0.01493634461186575,516,0.8660734955298904,0.5112653610292068,3,0.2514138343330883,0.6120752967177561,0.03406738010231675
91,0.5646445799497469,5,0.013204347971873278,517,0.888174260321952,0.4470449143385709,1,0.37452731840832704,1.0193253280575565,0.9874153385290485
92,0.5662087554144487,5,0.01011518644387368,508,0.8562617316487171,0.4756462133246815,2,0.2848512827231111,0.9035044140116125,1.1466658660719096
93,0.566534456368439,5,0.0114746770504977,491,0.8388708045366935,0.501078779442963,4,0.22083573001462703,0.5807113855033108,0.8418711661177722
94,0.5653090305229743,6,0.01116515924858072,469,0.8444141414385458,0.49272597181012795,2,0.21410598765492628,0.6820730583870468,1.0064821356224918
95,0.5662523134313683,5,0.010767211623840865,521,0.8381791120490639,0.5499691935328035,2,0.2832942015411216,0.6993114813793685,1.157399750556829
96,0.5656635570620859,5,0.012814450565295142,502,0.829238580242642,0.4511765471720682,3,0.3248544168911955,0.9122593921209761,1.0081169382168258
97,0.5671134118420448,5,0.012200546876198851,457,0.8580702300190309,0.4935360379090283,2,0.5386340703549012,0.6447754745013468,1.2982842528660328
98,0.566547997226425,5,0.010490399308870723,505,0.8436917953571745,0.5282541557814824,4,0.23289467009049053,1.0929494669699857,1.3901663940328677
99,0.5659477333043134,5,0.011235446743679761,513,0.8633202852548023,0.42064228897029954,1,0.4712837678263004,1.4110881889083726,1.150757732877991
